site_id,trap_number,calendar_week,hatched_eggs,embryonating_eggs,total_eggs,albopictus_female,albopictus_male,triseriatus_female,triseriatus_male,japonicus_female,japonicus_male,total_albo,total_tris,total_jap,rainfall_station,percent_forest_250m,percent_open_250m,percent_built_250m,percent_water_250m,percent_crop_250m,percent_forest_1000m,percent_open_1000m,percent_built_1000m,percent_water_1000m,percent_crop_1000m,mean_avg_temp,lagged_avgtemp_1week,lagged_avgtemp_2week,lagged_avgtemp_3week,total_rainfall,lagged_rainfall_1week,lagged_rainfall_2week,lagged_rainfall_3week,calendar_month,domland_250m,domland_1000m,percent_hatch,total_aedes,common_name,
SQ,1,23,21,203,224,3,4,52,78,0,0,7,130,0,walden_drive,0,38.67924528,13.20754717,48.11320755,0,23.43447385,21.23950936,13.16978696,42.09167205,0,23.49206349,22.22222222,23.65079365,21.42857143,29.972,26.162,53.848,60.706,June,open,forest,61.16071429,137,Seqoyah Park, 1498705.9364409)
ST,1,23,1,151,152,11,16,70,60,0,0,27,130,0,tyson_park,18.18181818,23.63636364,10.90909091,47.27272727,0,58.18298969,2.384020619,20.36082474,18.94329897,0.128865979,23.49206349,22.22222222,23.65079365,21.42857143,24.892,26.67,65.786,69.342,June,open,forest,103.2894737,157,Scottish River Pike Park, 1501030.66549389)
TY,1,23,0,161,161,76,82,24,30,0,0,158,54,0,tyson_park,0,0,100,0,0,0.23364486,2.258566978,86.13707165,11.29283489,0.07788162,23.49206349,22.22222222,23.65079365,21.42857143,24.892,26.67,65.786,69.342,June,built,built,131.6770186,212,Tyson Park, 1501853.48003629)
UT,1,23,1,2,3,1,0,2,3,0,0,1,5,0,tyson_park,0,3.571428571,96.42857143,0,0,21.40077821,1.167315175,52.76264591,22.10116732,2.568093385,23.49206349,22.22222222,23.65079365,21.42857143,24.892,26.67,65.786,69.342,June,built,built,200,6,University of Tennessee Gardens, 1500888.65993141)
WC,1,23,14,553,567,21,23,227,174,0,0,44,401,0,williams_creek,0,93.65079365,3.174603175,0,3.174603175,42.04946996,30.91872792,24.64664311,0,2.385159011,23.49206349,22.22222222,23.65079365,21.42857143,15.494,26.416,63.246,63.5,June,open,forest,78.48324515,445,Woodlawn Cemetery, 1500240.31061063)
WT,1,23,2,168,170,0,0,16,19,0,0,0,35,0,williams_creek,98.1981982,0.900900901,0.900900901,0,0,88.59872611,6.878980892,3.439490446,0,1.082802548,23.49206349,22.22222222,23.65079365,21.42857143,15.494,26.416,63.246,63.5,June,forest,forest,20.58823529,35,Williams Hastie Natural Area, 1500497.83772631)
WW,1,23,2,65,67,8,16,0,0,0,0,24,0,0,walden_drive,0,85.71428571,14.28571429,0,0,5.009451796,38.94139887,56.04914934,0,0,23.49206349,22.22222222,23.65079365,21.42857143,29.972,26.162,53.848,60.706,June,open,built,35.82089552,24,Westwood Park, 1499426.48965484)
AB,1,24,0,45,45,1,0,0,0,0,0,1,0,0,walden_drive,2.325581395,20.93023256,76.74418605,0,0,24.11764706,38.33333333,37.25490196,0,0.294117647,24.84126984,23.49206349,22.22222222,23.65079365,2.286,29.972,56.134,83.82,June,built,open,2.222222222,1,Ancient Burial Site (Rocky Hill Cemetery), 1495624.68655496)
BC,1,24,0,88,88,45,37,0,0,0,0,82,0,0,walden_drive,0,59,41,0,0,0.087642419,15.24978089,84.04907975,0,0.613496933,24.84126984,23.49206349,22.22222222,23.65079365,2.286,29.972,56.134,83.82,June,open,built,93.18181818,82,Bearden Cemetery, 1496741.90364521)
CC,1,24,12,192,204,64,58,18,25,0,0,122,43,0,williams_creek,21.95121951,19.51219512,58.53658537,0,0,1.10701107,18.72693727,80.16605166,0,0,24.84126984,23.49206349,22.22222222,23.65079365,0.254,15.494,41.91,78.74,June,built,built,80.88235294,165,Calvary Catholic Cemetery, 1504616.15010412)
CP,1,24,6,282,288,2,0,80,75,0,0,2,155,0,tyson_park,81.48148148,0,0,0,18.51851852,80.91603053,10.43256997,4.834605598,0,3.816793893,24.84126984,23.49206349,22.22222222,23.65079365,1.016,24.892,51.562,90.678,June,forest,forest,54.51388889,157,Charter E. Doyle Park, 1498602.50493119)
DH,1,24,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,walden_drive,0,8.695652174,89.13043478,0,0,1.608806097,17.95088908,80.35563082,0,0,24.84126984,23.49206349,22.22222222,23.65079365,2.286,29.972,56.134,83.82,June,built,built,NA,NA,Deane Hill Recreation Center, 1496935.67964537)
FR,1,24,0,0,0,5,4,18,22,0,0,9,40,0,williams_creek,82,0,0,16,2,64.6093237,3.939592909,11.09652003,12.60669731,7.747866054,24.84126984,23.49206349,22.22222222,23.65079365,0.254,15.494,41.91,78.74,June,forest,forest,100,49,Forks of the River Wildlife Management Area Parking, 1501315.62068991)
HG,1,24,80,947,1027,1,1,0,5,0,0,2,5,0,tyson_park,97.34513274,1.769911504,0.884955752,0,0,58.22064057,10.88967972,17.15302491,13.52313167,0.213523132,24.84126984,23.49206349,22.22222222,23.65079365,1.016,24.892,51.562,90.678,June,forest,forest,0.681596884,7,High Grounds Park, 1500264.33133114)
HM,1,24,10,53,63,14,10,0,0,0,0,24,0,0,walden_drive,0,48.4375,51.5625,0,0,3.344768439,45.36878216,51.2864494,0,0,24.84126984,23.49206349,22.22222222,23.65079365,2.286,29.972,56.134,83.82,June,built,built,38.0952381,24,Highland Memorial Cemetery, 1499937.08609212)
IC,1,24,11,109,120,22,35,36,43,0,0,57,79,0,williams_creek,63.91752577,30.92783505,5.154639175,0,0,66.88500728,20.45123726,10.69868996,0.58224163,1.382823872,24.84126984,23.49206349,22.22222222,23.65079365,0.254,15.494,41.91,78.74,June,forest,forest,113.3333333,136,Ijams Crag Parking, 1502118.94569032)
LP,1,24,0,78,78,24,28,0,0,0,0,52,0,0,walden_drive,5.769230769,55.76923077,38.46153846,0,0,2.857142857,28.33976834,19.07335907,48.33976834,1.38996139,24.84126984,23.49206349,22.22222222,23.65079365,2.286,29.972,56.134,83.82,June,open,open,66.66666667,52,Lakeshore Park, 1498024.08277578)
MC,1,24,25,1268,1293,0,0,191,109,0,0,0,300,0,williams_creek,94.33962264,0.943396226,0.943396226,0,3.773584906,93.22709163,1.394422311,3.718459495,0,1.66002656,24.84126984,23.49206349,22.22222222,23.65079365,0.254,15.494,41.91,78.74,June,forest,forest,23.20185615,300,Meridian Cemetery, 1499678.40898073)
MV,1,24,9,181,190,11,20,5,107,0,0,31,112,0,tyson_park,56.81818182,6.818181818,36.36363636,0,0,50,21.4524207,25.04173623,3.338898164,0.166944908,24.84126984,23.49206349,22.22222222,23.65079365,1.016,24.892,51.562,90.678,June,forest,forest,75.26315789,143,Mary Vestal Park, 1500295.65327177)
SP,1,24,3,28,31,6,5,0,0,0,0,11,0,0,love_creek,0,71.42857143,28.57142857,0,0,32.84734134,18.69639794,38.07890223,0,10.37735849,24.84126984,23.49206349,22.22222222,23.65079365,0.254,14.986,50.292,85.598,June,open,built,35.48387097,11,Spring Place Park, 1510216.251542)
SQ,1,24,0,120,120,5,12,47,44,0,0,17,91,0,walden_drive,0,38.67924528,13.20754717,48.11320755,0,23.43447385,21.23950936,13.16978696,42.09167205,0,24.84126984,23.49206349,22.22222222,23.65079365,2.286,29.972,56.134,83.82,June,open,forest,90,108,Seqoyah Park, 1498705.9364409)
ST,1,24,19,261,280,5,8,64,45,0,0,13,109,0,tyson_park,18.18181818,23.63636364,10.90909091,47.27272727,0,58.18298969,2.384020619,20.36082474,18.94329897,0.128865979,24.84126984,23.49206349,22.22222222,23.65079365,1.016,24.892,51.562,90.678,June,open,forest,43.57142857,122,Scottish River Pike Park, 1501030.66549389)
TY,1,24,39,229,268,68,70,11,51,0,0,138,62,0,tyson_park,0,0,100,0,0,0.23364486,2.258566978,86.13707165,11.29283489,0.07788162,24.84126984,23.49206349,22.22222222,23.65079365,1.016,24.892,51.562,90.678,June,built,built,74.62686567,200,Tyson Park, 1501853.48003629)
UT,1,24,81,137,218,20,28,0,0,0,0,48,0,0,tyson_park,0,3.571428571,96.42857143,0,0,21.40077821,1.167315175,52.76264591,22.10116732,2.568093385,24.84126984,23.49206349,22.22222222,23.65079365,1.016,24.892,51.562,90.678,June,built,built,22.01834862,48,University of Tennessee Gardens, 1500888.65993141)
WC,1,24,5,873,878,5,0,5,0,0,0,5,5,0,williams_creek,0,93.65079365,3.174603175,0,3.174603175,42.04946996,30.91872792,24.64664311,0,2.385159011,24.84126984,23.49206349,22.22222222,23.65079365,0.254,15.494,41.91,78.74,June,open,forest,1.138952164,10,Woodlawn Cemetery, 1500240.31061063)
WT,1,24,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,williams_creek,98.1981982,0.900900901,0.900900901,0,0,88.59872611,6.878980892,3.439490446,0,1.082802548,24.84126984,23.49206349,22.22222222,23.65079365,0.254,15.494,41.91,78.74,June,forest,forest,NA,NA,Williams Hastie Natural Area, 1500497.83772631)
WW,1,24,1,85,86,15,10,0,0,0,0,25,0,0,walden_drive,0,85.71428571,14.28571429,0,0,5.009451796,38.94139887,56.04914934,0,0,24.84126984,23.49206349,22.22222222,23.65079365,2.286,29.972,56.134,83.82,June,open,built,29.06976744,25,Westwood Park, 1499426.48965484)
AB,1,25,31,219,250,24,26,14,14,0,5,50,28,5,walden_drive,2.325581395,20.93023256,76.74418605,0,0,24.11764706,38.33333333,37.25490196,0,0.294117647,26.11111111,24.84126984,23.49206349,22.22222222,0,2.286,32.258,58.42,June,built,open,33.2,83,Ancient Burial Site (Rocky Hill Cemetery), 1495624.68655496)
BC,1,25,0,82,82,24,34,0,0,0,0,58,0,0,walden_drive,0,59,41,0,0,0.087642419,15.24978089,84.04907975,0,0.613496933,26.11111111,24.84126984,23.49206349,22.22222222,0,2.286,32.258,58.42,June,open,built,70.73170732,58,Bearden Cemetery, 1496741.90364521)
CC,1,25,19,87,106,0,0,0,0,0,0,0,0,0,williams_creek,21.95121951,19.51219512,58.53658537,0,0,1.10701107,18.72693727,80.16605166,0,0,26.11111111,24.84126984,23.49206349,22.22222222,7.874,0.254,15.748,42.164,June,built,built,0,0,Calvary Catholic Cemetery, 1504616.15010412)
CP,1,25,12,206,218,1,0,78,108,0,0,1,186,0,tyson_park,81.48148148,0,0,0,18.51851852,80.91603053,10.43256997,4.834605598,0,3.816793893,26.11111111,24.84126984,23.49206349,22.22222222,7.112,1.016,25.908,52.578,June,forest,forest,85.77981651,187,Charter E. Doyle Park, 1498602.50493119)
DH,1,25,0,14,14,0,1,0,0,0,0,1,0,0,walden_drive,0,8.695652174,89.13043478,0,0,1.608806097,17.95088908,80.35563082,0,0,26.11111111,24.84126984,23.49206349,22.22222222,0,2.286,32.258,58.42,June,built,built,7.142857143,1,Deane Hill Recreation Center, 1496935.67964537)
FR,1,25,38,777,815,17,17,202,208,1,7,34,410,8,williams_creek,82,0,0,16,2,64.6093237,3.939592909,11.09652003,12.60669731,7.747866054,26.11111111,24.84126984,23.49206349,22.22222222,7.874,0.254,15.748,42.164,June,forest,forest,55.4601227,452,Forks of the River Wildlife Management Area Parking, 1501315.62068991)
HG,1,25,369,1885,2254,31,8,347,134,0,0,39,481,0,tyson_park,97.34513274,1.769911504,0.884955752,0,0,58.22064057,10.88967972,17.15302491,13.52313167,0.213523132,26.11111111,24.84126984,23.49206349,22.22222222,7.112,1.016,25.908,52.578,June,forest,forest,23.0700976,520,High Grounds Park, 1500264.33133114)
HM,1,25,87,64,151,16,11,0,0,0,0,27,0,0,walden_drive,0,48.4375,51.5625,0,0,3.344768439,45.36878216,51.2864494,0,0,26.11111111,24.84126984,23.49206349,22.22222222,0,2.286,32.258,58.42,June,built,built,17.8807947,27,Highland Memorial Cemetery, 1499937.08609212)
HR,1,25,27,25,52,7,5,0,0,0,0,12,0,0,williams_creek,53.06122449,3.06122449,0,1.020408163,42.85714286,35.09833585,14.22087746,6.580937973,9.455370651,34.3419062,26.11111111,24.84126984,23.49206349,22.22222222,7.874,0.254,15.748,42.164,June,forest,forest,23.07692308,12,Holston River Park, 1505548.78487293)
IC,1,25,23,286,309,17,3,121,98,0,0,20,219,0,williams_creek,63.91752577,30.92783505,5.154639175,0,0,66.88500728,20.45123726,10.69868996,0.58224163,1.382823872,26.11111111,24.84126984,23.49206349,22.22222222,7.874,0.254,15.748,42.164,June,forest,forest,77.34627832,239,Ijams Crag Parking, 1502118.94569032)
LP,1,25,?,?,0,40,26,0,0,0,0,66,0,0,walden_drive,5.769230769,55.76923077,38.46153846,0,0,2.857142857,28.33976834,19.07335907,48.33976834,1.38996139,26.11111111,24.84126984,23.49206349,22.22222222,0,2.286,32.258,58.42,June,open,open,100,66,Lakeshore Park, 1498024.08277578)
MC,1,25,0,14,14,0,0,0,1,0,0,0,1,0,williams_creek,94.33962264,0.943396226,0.943396226,0,3.773584906,93.22709163,1.394422311,3.718459495,0,1.66002656,26.11111111,24.84126984,23.49206349,22.22222222,7.874,0.254,15.748,42.164,June,forest,forest,7.142857143,1,Meridian Cemetery, 1499678.40898073)
MV,1,25,3,24,27,0,1,8,6,0,0,1,14,0,tyson_park,56.81818182,6.818181818,36.36363636,0,0,50,21.4524207,25.04173623,3.338898164,0.166944908,26.11111111,24.84126984,23.49206349,22.22222222,7.112,1.016,25.908,52.578,June,forest,forest,55.55555556,15,Mary Vestal Park, 1500295.65327177)
SP,1,25,142,296,438,31,49,31,41,0,0,80,72,0,love_creek,0,71.42857143,28.57142857,0,0,32.84734134,18.69639794,38.07890223,0,10.37735849,26.11111111,24.84126984,23.49206349,22.22222222,7.112,0.254,15.24,50.546,June,open,built,34.70319635,152,Spring Place Park, 1510216.251542)
SQ,1,25,13,32,45,15,20,0,0,0,0,35,0,0,walden_drive,0,38.67924528,13.20754717,48.11320755,0,23.43447385,21.23950936,13.16978696,42.09167205,0,26.11111111,24.84126984,23.49206349,22.22222222,0,2.286,32.258,58.42,June,open,forest,77.77777778,35,Seqoyah Park, 1498705.9364409)
ST,1,25,32,232,264,8,0,93,37,0,0,8,130,0,tyson_park,18.18181818,23.63636364,10.90909091,47.27272727,0,58.18298969,2.384020619,20.36082474,18.94329897,0.128865979,26.11111111,24.84126984,23.49206349,22.22222222,7.112,1.016,25.908,52.578,June,open,forest,52.27272727,138,Scottish River Pike Park, 1501030.66549389)
TY,1,25,100,133,233,0,0,9,1,0,0,0,10,0,tyson_park,0,0,100,0,0,0.23364486,2.258566978,86.13707165,11.29283489,0.07788162,26.11111111,24.84126984,23.49206349,22.22222222,7.112,1.016,25.908,52.578,June,built,built,4.291845494,10,Tyson Park, 1501853.48003629)
UT,1,25,0,17,17,0,0,0,0,0,0,0,0,0,tyson_park,0,3.571428571,96.42857143,0,0,21.40077821,1.167315175,52.76264591,22.10116732,2.568093385,26.11111111,24.84126984,23.49206349,22.22222222,7.112,1.016,25.908,52.578,June,built,built,0,0,University of Tennessee Gardens, 1500888.65993141)
WC,1,25,9,445,454,3,0,86,95,0,0,3,181,0,williams_creek,0,93.65079365,3.174603175,0,3.174603175,42.04946996,30.91872792,24.64664311,0,2.385159011,26.11111111,24.84126984,23.49206349,22.22222222,7.874,0.254,15.748,42.164,June,open,forest,40.52863436,184,Woodlawn Cemetery, 1500240.31061063)
WT,1,25,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,williams_creek,98.1981982,0.900900901,0.900900901,0,0,88.59872611,6.878980892,3.439490446,0,1.082802548,26.11111111,24.84126984,23.49206349,22.22222222,7.874,0.254,15.748,42.164,June,forest,forest,NA,NA,Williams Hastie Natural Area, 1500497.83772631)
WW,1,25,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,walden_drive,0,85.71428571,14.28571429,0,0,5.009451796,38.94139887,56.04914934,0,0,26.11111111,24.84126984,23.49206349,22.22222222,0,2.286,32.258,58.42,June,open,built,100,NA,Westwood Park, 1499426.48965484)
